uniprot_id,drug_id,interaction
O00141,CHEMBL1087421,0
O14920,CHEMBL1087421,0
O15111,CHEMBL1087421,0
P00533,CHEMBL1087421,0
P04626,CHEMBL1087421,0
P06239,CHEMBL1087421,0
P07333,CHEMBL1087421,0
P15056,CHEMBL1087421,0
P24941,CHEMBL1087421,0
P28482,CHEMBL1087421,0
P45983,CHEMBL1087421,0
P45984,CHEMBL1087421,1
P49841,CHEMBL1087421,0
P53350,CHEMBL1087421,0
P53779,CHEMBL1087421,1
Q13464,CHEMBL1087421,0
Q16539,CHEMBL1087421,0
Q16584,CHEMBL1087421,0
O00141,CHEMBL1088633,0
O14920,CHEMBL1088633,0
O15111,CHEMBL1088633,0
P00533,CHEMBL1088633,0
P04626,CHEMBL1088633,0
P06239,CHEMBL1088633,0
P07333,CHEMBL1088633,0
P15056,CHEMBL1088633,0
P24941,CHEMBL1088633,0
P28482,CHEMBL1088633,0
P45983,CHEMBL1088633,0
P45984,CHEMBL1088633,0
P49841,CHEMBL1088633,0
P53350,CHEMBL1088633,0
P53779,CHEMBL1088633,1
Q13464,CHEMBL1088633,0
Q16539,CHEMBL1088633,0
Q16584,CHEMBL1088633,0
O00141,CHEMBL1090360,1
O00311,CHEMBL1090360,0
O14757,CHEMBL1090360,1
O14965,CHEMBL1090360,1
O15075,CHEMBL1090360,0
O15264,CHEMBL1090360,1
O15530,CHEMBL1090360,0
O43293,CHEMBL1090360,1
O60674,CHEMBL1090360,1
O75116,CHEMBL1090360,1
O75582,CHEMBL1090360,0
O94806,CHEMBL1090360,0
O95819,CHEMBL1090360,1
O96013,CHEMBL1090360,1
O96017,CHEMBL1090360,1
P00533,CHEMBL1090360,1
P04626,CHEMBL1090360,1
P04629,CHEMBL1090360,1
P05129,CHEMBL1090360,1
P06213,CHEMBL1090360,1
P06239,CHEMBL1090360,1
P06241,CHEMBL1090360,1
P06493,CHEMBL1090360,1
P07332,CHEMBL1090360,0
P07333,CHEMBL1090360,1
P07948,CHEMBL1090360,1
P07949,CHEMBL1090360,1
P08069,CHEMBL1090360,1
P08922,CHEMBL1090360,0
P10721,CHEMBL1090360,1
P11309,CHEMBL1090360,1
P11362,CHEMBL1090360,1
P12931,CHEMBL1090360,1
P15735,CHEMBL1090360,0
P16591,CHEMBL1090360,0
P17612,CHEMBL1090360,0
P23443,CHEMBL1090360,0
P24723,CHEMBL1090360,1
P24941,CHEMBL1090360,0
P27448,CHEMBL1090360,0
P28482,CHEMBL1090360,1
P29317,CHEMBL1090360,1
P29597,CHEMBL1090360,1
P31751,CHEMBL1090360,1
P35916,CHEMBL1090360,1
P35968,CHEMBL1090360,1
P41743,CHEMBL1090360,0
P42679,CHEMBL1090360,0
P42685,CHEMBL1090360,1
P43405,CHEMBL1090360,1
P45983,CHEMBL1090360,1
P45984,CHEMBL1090360,1
P48729,CHEMBL1090360,0
P48730,CHEMBL1090360,1
P49137,CHEMBL1090360,0
P49760,CHEMBL1090360,0
P49840,CHEMBL1090360,1
P49841,CHEMBL1090360,1
P51451,CHEMBL1090360,1
P51617,CHEMBL1090360,0
P51812,CHEMBL1090360,0
P51817,CHEMBL1090360,0
P51955,CHEMBL1090360,1
P51957,CHEMBL1090360,0
P52333,CHEMBL1090360,1
P53350,CHEMBL1090360,1
P53778,CHEMBL1090360,1
P68400,CHEMBL1090360,0
P78368,CHEMBL1090360,0
Q00535,CHEMBL1090360,1
Q05397,CHEMBL1090360,1
Q05513,CHEMBL1090360,0
Q05655,CHEMBL1090360,1
Q06418,CHEMBL1090360,0
Q08881,CHEMBL1090360,1
Q12851,CHEMBL1090360,1
Q13131,CHEMBL1090360,0
Q13153,CHEMBL1090360,1
Q13188,CHEMBL1090360,1
Q13237,CHEMBL1090360,0
Q13464,CHEMBL1090360,1
Q13554,CHEMBL1090360,0
Q13555,CHEMBL1090360,0
Q13557,CHEMBL1090360,0
Q13627,CHEMBL1090360,1
Q13976,CHEMBL1090360,0
Q14012,CHEMBL1090360,0
Q14680,CHEMBL1090360,0
Q15303,CHEMBL1090360,1
Q16288,CHEMBL1090360,0
Q16513,CHEMBL1090360,0
Q16620,CHEMBL1090360,1
Q16644,CHEMBL1090360,1
Q5VT25,CHEMBL1090360,1
Q7KZI7,CHEMBL1090360,0
Q7L7X3,CHEMBL1090360,1
Q86V86,CHEMBL1090360,0
Q8IW41,CHEMBL1090360,0
Q8N4C8,CHEMBL1090360,0
Q8NE63,CHEMBL1090360,1
Q8TDC3,CHEMBL1090360,0
Q96GD4,CHEMBL1090360,1
Q96KB5,CHEMBL1090360,0
Q96PF2,CHEMBL1090360,0
Q96SB4,CHEMBL1090360,0
Q9BXA7,CHEMBL1090360,0
Q9BZL6,CHEMBL1090360,1
Q9H2G2,CHEMBL1090360,1
Q9H2X6,CHEMBL1090360,0
Q9H3Y6,CHEMBL1090360,1
Q9H4B4,CHEMBL1090360,1
Q9HAZ1,CHEMBL1090360,0
Q9HBY8,CHEMBL1090360,0
Q9HCP0,CHEMBL1090360,0
Q9NR20,CHEMBL1090360,0
Q9NWZ3,CHEMBL1090360,0
Q9NYL2,CHEMBL1090360,1
Q9P1W9,CHEMBL1090360,1
Q9UEE5,CHEMBL1090360,0
Q9UM73,CHEMBL1090360,0
Q9Y243,CHEMBL1090360,1
Q9Y4K4,CHEMBL1090360,1
Q9Y6M4,CHEMBL1090360,0
O00141,CHEMBL1688215,0
O14757,CHEMBL1688215,0
O14965,CHEMBL1688215,1
O15111,CHEMBL1688215,1
O15530,CHEMBL1688215,1
P06213,CHEMBL1688215,0
P08069,CHEMBL1688215,0
P23443,CHEMBL1688215,0
P24941,CHEMBL1688215,1
P31749,CHEMBL1688215,0
P35968,CHEMBL1688215,1
P42336,CHEMBL1688215,0
P43405,CHEMBL1688215,0
P45983,CHEMBL1688215,0
P52333,CHEMBL1688215,1
Q13464,CHEMBL1688215,0
Q96GD4,CHEMBL1688215,0
Q99683,CHEMBL1688215,0
O00141,CHEMBL1765781,1
O14757,CHEMBL1765781,1
O14965,CHEMBL1765781,1
O15111,CHEMBL1765781,1
O43293,CHEMBL1765781,1
O60674,CHEMBL1765781,1
O75116,CHEMBL1765781,1
O75582,CHEMBL1765781,1
P00519,CHEMBL1765781,1
P00533,CHEMBL1765781,1
P04049,CHEMBL1765781,0
P05771,CHEMBL1765781,1
P06213,CHEMBL1765781,1
P06239,CHEMBL1765781,1
P06241,CHEMBL1765781,1
P06493,CHEMBL1765781,1
P07332,CHEMBL1765781,1
P07947,CHEMBL1765781,1
P07948,CHEMBL1765781,1
P07949,CHEMBL1765781,1
P08069,CHEMBL1765781,1
P08631,CHEMBL1765781,1
P08922,CHEMBL1765781,1
P10721,CHEMBL1765781,1
P11309,CHEMBL1765781,1
P12931,CHEMBL1765781,1
P16234,CHEMBL1765781,1
P16591,CHEMBL1765781,1
P22455,CHEMBL1765781,1
P23443,CHEMBL1765781,1
P27361,CHEMBL1765781,0
P28482,CHEMBL1765781,0
P29323,CHEMBL1765781,1
P31749,CHEMBL1765781,1
P35968,CHEMBL1765781,1
P36888,CHEMBL1765781,1
P41240,CHEMBL1765781,1
P41279,CHEMBL1765781,1
