drugbank_id,uniprot_id,interaction
DB01133,Q8IXJ6,False
DB03077,P06858,False
DB03800,P09038,False
DB08393,P00747,False
DB03174,Q99928,False
DB05824,Q9RVD6,False
DB14543,P80365,True
DB14911,Q9HC97,False
DB12961,P34972,False
DB03148,O33199,True
DB03147,P08588,False
DB14487,P78330,True
DB04209,P35367,False
DB08081,P55407,True
DB14979,O15379,True
DB12010,Q14289,True
DB07864,P04585,True
DB01354,P48169,True
DB07995,P61925,True
DB02813,P35348,False
DB00726,P11229,True
DB01028,P03372,False
DB07492,P24093,True
DB00131,P18031,False
DB00467,O43776,False
DB00937,Q13231,False
DB01602,P0AEB2,True
DB00909,P16152,False
DB05483,P41145,False
DB01536,Q00441,True
DB01577,P21397,True
DB06888,P0A7J6,False
DB11752,P17252,True
DB02726,P00512,True
DB00938,P07550,True
DB02801,Q05940,False
DB00318,P00492,False
DB07250,P54760,True
DB08199,P05364,False
DB00550,P24941,False
DB07927,P46531,False
DB04233,P10275,False
DB04824,P33402,False
DB18267,Q44244,False
DB03258,P34969,False
DB04481,Q9X112,True
DB00385,P18031,False
DB09093,Q9UM07,True
DB11366,P23975,False
DB12010,Q8TD08,True
DB08523,Q8DP79,True
DB00805,Q01959,False
DB01337,Q06187,False
DB11734,P08172,False
DB01961,P07998,True
DB16629,P43005,False
DB04032,P00183,True
DB02052,P14324,False
DB06211,P72355,True
DB00193,Q9Y230,False
DB02386,P28838,True
DB03801,P24941,True
DB00863,P22303,True
DB08901,P37088,False
DB08848,P48065,True
DB18019,P0C1U9,False
DB01403,P28223,True
DB02645,Q13002,False
DB06967,P00797,True
DB03443,P0A3M6,False
DB04464,P24093,False
DB01783,Q92731,False
DB07499,P19961,False
DB07997,Q02641,False
DB08676,P49354,True
DB12695,P11309,False
DB14487,P05109,True
DB12263,Q8WW43,True
DB04807,P14867,False
DB03278,P09373,True
DB15494,P30874,True
DB14059,P35354,True
DB03676,Q47NK3,True
DB04473,P27914,True
DB01254,O95749,False
DB00589,P18825,True
DB00157,O75311,False
DB12107,Q9X757,True
DB06630,P11597,True
DB00456,P15555,True
DB07641,P0DP24,False
DB04014,Q15910,False
DB07763,Q9UDW1,True
DB00417,P0AE18,False
DB06255,P42574,True
DB07219,P25779,False
DB02890,Q15722,False
DB00617,C3T8E2,False
DB08515,P20618,True
DB00334,Q96S37,False
DB15356,P08473,True
DB04513,P63316,True
DB01946,Q96GD4,False
DB00543,P28222,True
DB08868,P48181,False
DB03496,P06493,True
DB13345,Q6UWM7,False
DB01242,P41595,True
DB08501,Q9UGH3,False
DB01992,P06213,False
DB00157,O43674,True
DB07326,P05164,False
DB12010,P12998,False
DB01912,P37231,False
DB03863,P17931,False
DB06011,Q12851,False
DB03740,P01857,True
DB09123,P37231,False
DB02562,P00439,True
DB08619,P0A3R9,True
DB07853,O76054,False
DB06461,P49765,True
DB02930,P28335,False
DB08026,P54762,False
DB02462,P35228,True
DB07157,P15086,True
DB07247,P08709,True
DB00767,P11229,True
DB03374,P61925,True
DB03546,Q16595,False
DB12720,P29466,True
DB01159,Q6W5P4,True
DB11638,P14416,False
DB00388,P35368,True
DB07069,Q16719,True
DB01571,P28335,False
DB00988,P46098,True
DB03461,P38038,True
DB04293,P48637,False
DB01861,P46976,True
DB00661,Q13936,True
DB04846,D2YW37,False
DB02659,P20674,True
DB00334,P42336,False
DB03861,P20309,False
DB00356,Q12791,True
DB00466,P49354,False
DB12890,P08908,False
DB03643,P51178,False
DB05864,P50579,True
DB12714,Q12809,True
DB02379,P08684,False
DB08515,P25788,True
DB01156,Q9P0X4,False
DB12988,Q92918,False
DB04216,P98002,False
DB00968,P20711,True
DB07720,P43681,True
DB00184,P17787,True
DB12900,P20309,False
DB08490,P04150,False
DB11712,P41594,False
DB04289,Q12866,False
DB00868,Q14524,True
DB14810,P22748,False
DB07965,P43235,True
DB00594,P51172,True
DB04248,Q65CX5,True
DB14002,P05771,True
DB06249,Q92731,True
DB03841,P20813,False
DB08579,P26663,True
DB00905,P11229,False
DB14973,O60674,True
DB06075,P78527,False
DB03389,P58558,False
DB13952,P00533,False
DB00270,P01834,False
DB02094,Q96RI1,False
DB12150,P23219,True
DB01058,P18846,False
DB00489,Q12809,True
DB12085,Q9P0X4,False
DB14518,P24941,False
DB04518,P11229,False
DB03461,P16544,True
DB12021,P24941,True
DB12125,P32745,False
DB02282,P50052,False
DB09212,P23219,True
DB11681,P27815,True
DB09183,P26664,True
DB00363,P20309,True
DB08034,P03366,True
DB00469,P22513,False
DB09198,Q07869,True
DB16279,P21917,False
DB00425,P14867,True
DB06235,Q04864,True
DB01878,P03372,True
DB01034,P0AAI5,True
DB00543,P03366,False
DB00126,Q54873,True
DB06274,P35372,True
DB02154,P47869,False
DB02887,P15531,True
DB03389,Q05940,False
DB01645,P08908,False
DB15190,Q8IW41,True
DB09244,P21397,True
DB12445,P34969,False
DB05913,P17948,True
DB01291,P46925,False
DB08896,P23219,False
DB00142,P23458,False
DB03773,P26827,True
DB00451,P10827,True
DB06409,P41145,True
DB00408,P21918,True
