drugbank_id,uniprot_id,interaction
DB05611,P29459,1
DB00477,P37059,0
DB08094,P35354,0
DB00715,P08913,1
DB02379,Q6UWM7,1
DB01626,Q9BYF1,0
DB06558,P24530,1
DB12377,P41143,0
DB11638,P07237,1
DB01812,O00204,1
DB02670,O60264,1
DB00237,P14867,1
DB02843,P19926,1
DB02379,P35367,0
DB08542,P07477,0
DB04012,P21695,0
DB13983,P48637,0
DB01186,P35348,1
DB04836,P23975,1
DB01114,P00691,0
DB00910,Q12809,0
DB08725,P03303,1
DB00900,P04054,0
DB08083,Q96BI3,0
DB02655,P43133,1
DB03852,O43252,0
DB08231,P41235,1
DB00128,P17174,1
DB03887,Q05603,1
DB05045,P08908,0
DB00408,Q8ILF7,0
DB11885,P12931,1
DB01796,P30012,1
DB08185,P08263,0
DB01162,P0ABQ4,0
DB06290,P43985,0
DB15413,P28222,0
DB00642,P43119,0
DB11793,P35367,0
DB01778,P56740,1
DB07548,Q9A1X4,0
DB11455,Q8SPQ9,1
DB11886,P22455,1
DB00508,P00811,0
DB01877,P08581,0
DB04714,P20701,0
DB07988,P09936,0
DB00356,Q12791,1
DB03756,P37231,1
DB00731,P37231,1
DB04209,Q12791,1
DB03247,Q53ZE5,1
DB07018,Q04828,0
DB01880,P09874,0
DB02659,P49137,0
DB14543,P04150,1
DB01972,P00722,0
DB00622,P54750,1
DB08901,Q02763,1
DB01268,P09619,1
DB07583,Q02763,0
DB05154,P21554,0
DB02154,P52699,1
DB16335,P00797,0
DB02761,P0A6V7,1
DB14028,P14867,1
DB07334,P35968,1
DB06409,P14902,0
DB03619,P09211,1
DB15499,Q16678,0
DB11393,P35498,0
DB03891,P08912,0
DB07919,Q75Y35,0
DB08936,P09619,0
DB07859,P49841,1
DB01032,P00742,0
DB03948,Q15596,0
DB08897,P06493,0
DB03461,Q9X0A2,1
DB06910,P35498,0
DB07130,P35372,0
DB00203,P24941,0
DB00142,P54886,1
DB08896,Q02763,1
DB13783,P00403,0
DB11943,P0AES4,1
DB02557,P35354,0
DB03600,P45984,0
DB11148,Q9KM65,0
DB08302,P37231,1
DB04395,P19525,0
DB13944,P03372,1
DB07203,P20248,1
DB01708,P06744,0
DB02696,Q99808,0
DB01524,P03372,1
DB01110,Q13936,1
DB11663,Q96GD4,0
DB00925,O60674,0
DB00606,P08179,0
DB13004,P41594,1
DB06148,Q3JUV5,0
DB04066,P77444,0
DB12817,P0A0K8,1
DB03297,P49841,0
DB07907,P20932,1
DB01000,Q06609,0
DB03394,P16152,1
DB12758,P68400,0
DB07954,Q08499,1
DB14649,P35228,1
DB04464,P22629,1
DB02401,P07195,1
DB14854,Q13936,0
DB00228,Q01959,0
DB07582,P54709,0
DB07728,Q16644,1
DB12465,Q05586,0
DB12799,P20309,0
DB12110,P02818,0
DB12325,Q00987,1
DB04310,Q819U0,1
DB11672,P07947,0
DB00679,P0C0Y7,0
DB16133,P42574,0
DB00561,Q9NPC2,1
DB06875,Q92731,1
DB00822,P27487,0
DB11682,P48736,0
DB02709,P41145,0
DB01221,P23458,0
DB07363,P00918,1
DB08108,P14900,1
DB06881,P13568,0
DB02345,P48048,0
DB00824,P27815,1
DB01248,P10415,1
DB07428,P69905,1
DB12010,P07948,1
DB00143,P14061,0
DB14973,P23458,1
DB07450,Q8WU08,0
DB00276,Q12809,1
DB17191,Q6ZZJ1,0
DB12010,Q8TD19,1
DB03796,O43617,1
DB03017,P0AAI5,1
DB00514,P30043,0
DB08521,Q07343,0
DB08677,P24941,1
DB15367,P08235,1
DB01088,Q07343,1
DB13953,Q99527,1
DB02007,P11217,1
DB01702,P17252,0
DB11650,Q07343,1
DB07514,P15056,0
DB04147,O15217,0
DB09074,P19838,0
DB03501,O75469,0
DB04447,Q02192,1
DB01244,P63316,1
DB00151,P48507,1
DB00213,P35348,0
DB00947,P03372,1
DB13954,P11229,0
DB13952,P07360,0
DB03247,P60174,0
DB04253,P03951,0
DB03701,P23975,0
DB04335,P0C6U8,0
DB01054,Q71U36,0
DB13055,P10613,1
DB04086,Q03013,0
DB08217,P06730,1
DB09028,P36544,1
DB00591,P0AC13,0
DB07761,P11229,0
DB07805,Q5HEB7,1
DB07650,P54760,0
DB07018,P08183,0
DB08848,P48066,1
DB11793,P09874,1
DB07490,P00363,1
DB11693,P49069,1
DB08067,P14416,0
DB00916,O25608,1
DB09118,P81006,0
DB01183,O15530,0
DB06603,Q13547,1
DB00449,P00813,0
DB02966,Q02880,0
DB07280,P42345,0
DB00157,Q9UGM6,0
DB02772,Q59976,1
DB07858,P01008,0
DB00922,Q8TDV5,0
DB02151,P95780,0
DB00142,P17735,1
DB09085,P25100,0
DB01608,Q8WW43,0
DB16874,O95182,0
DB08215,P06009,1
DB15494,P08912,0
DB07295,P18031,1
DB07292,Q9Y233,0
DB03721,P12821,0
DB01062,Q9NSA0,0
DB03880,P08254,1
DB02593,P25910,1
DB00157,Q05513,0
DB00568,P28222,0
DB12094,P04049,1
DB08439,P35354,1
DB01186,P06129,0
DB14001,P22894,0
DB15651,O43293,0
DB01110,P13901,0
DB06979,Q99584,0
DB04079,P13036,1
DB04522,P78540,0
DB16927,P00734,0
DB01463,Q01959,1
DB11681,Q08499,1
