drugbank_id,uniprot_id,interaction
DB04150,P51164,0
DB00311,P43166,1
DB01267,Q02153,0
DB01354,P48169,1
DB11638,P02768,1
DB04396,Q9L5C8,0
DB08473,P68400,1
DB08688,Q16850,0
DB00348,P32754,1
DB01136,P16860,1
DB00831,P0DP25,1
DB00221,P08588,1
DB00699,P35348,1
DB13956,P51161,0
DB16305,Q969G6,0
DB02494,P61313,1
DB03389,Q8SPQ9,0
DB01717,P54819,1
DB00170,O34002,0
DB05154,P49411,0
DB04047,P26281,1
DB00397,P08913,1
DB07702,P07477,0
DB15932,P10613,0
DB12203,P08172,0
DB06490,P30542,0
DB06706,Q59288,0
DB03461,P06632,1
DB00157,Q15843,0
DB14733,P08908,0
DB05100,P03956,1
DB00241,Q99418,0
DB07374,P62917,1
DB02839,P20586,1
DB12429,P31749,1
DB00420,P43116,0
DB01467,P28223,1
DB08259,P34913,1
DB04395,P20083,1
DB00589,P09104,0
DB02345,P49913,1
DB02800,P75430,1
DB04004,P28720,1
DB00171,P35372,0
DB03572,P00813,1
DB00408,Q00169,0
DB08305,P18825,0
DB00143,P21266,1
DB02660,Q04760,0
DB12245,P25100,0
DB15465,P35372,1
DB02930,Q59560,1
DB11638,Q14103,1
DB06892,Q02750,1
DB00463,P36544,1
DB05284,P07437,1
DB17919,P80404,1
DB00514,P41145,1
DB14844,P14416,1
DB00963,P35354,1
DB16754,P10826,0
DB07155,P9WGR1,1
DB01104,P31645,1
DB01238,P25021,1
DB08745,P00742,1
DB11672,P23280,1
DB12010,Q8N5S9,1
DB00846,P14416,0
DB01112,Q8XJ01,1
DB12399,P30968,0
DB06738,P9WGR1,0
DB08134,P24941,1
DB07045,P11142,1
DB00738,P11444,0
DB01026,P05093,1
DB03761,P0CI79,1
DB04302,Q96CA5,0
DB02937,P18843,1
DB04394,P00918,1
DB03030,P9WGR1,1
DB14491,P02794,1
DB09217,P35354,1
DB07454,P30536,0
DB01254,P28335,0
DB00467,P18089,0
DB00248,P28222,1
DB04903,P34903,1
DB17191,Q70GK9,0
DB11638,P06744,1
DB06718,P0AEG4,0
DB15219,Q9BUB5,1
DB01179,P07437,1
DB00363,Q8N1C3,1
DB16495,Q9Y2T6,1
DB06486,P16442,0
DB01359,P45568,0
DB06616,P16581,0
DB12010,Q4R2T2,0
DB00157,Q16280,0
DB08996,P24941,0
DB07178,P9WGR1,1
DB03544,P00742,0
DB05188,Q9HVZ0,0
DB08234,P0AC13,0
DB05424,P31749,1
DB03909,P06276,0
DB05766,P14416,1
DB09207,Q837V6,0
DB04464,P01889,1
DB06157,Q5HEB7,0
DB12608,Q13639,0
DB06889,Q9L5C8,1
DB00333,P32297,1
DB16279,P30518,1
DB04975,P05981,0
DB04031,P76045,0
DB03478,Q9NXA8,1
DB00786,P50281,1
DB12695,Q12874,1
DB06461,P40925,0
DB00288,P00915,0
DB07123,Q9NWZ3,0
DB00814,P80365,0
DB00207,Q9UM07,1
DB02933,P0AF12,1
DB03814,P36405,1
DB04722,P08172,0
DB01621,P60472,0
DB06448,P04377,0
DB01194,P07225,0
DB07778,P0AE18,0
DB02772,P14867,0
DB08148,P14416,0
DB00591,P09525,1
DB08248,P14751,0
DB04960,P14324,1
DB03372,P60568,1
DB04451,P0DJ06,1
DB00171,Q9NZK7,0
DB12549,P68826,0
DB07821,P00800,0
DB12858,P14635,0
DB11638,Q8ILK3,1
DB00141,P03952,0
DB00463,P47869,1
DB19314,P08913,0
DB14489,P02794,1
DB08449,P21397,0
DB12863,Q9UNI1,1
DB01028,P28335,0
DB02073,P30043,1
DB05271,P21728,1
DB00496,Q96RI1,0
DB16101,Q13838,0
DB08348,Q9Y6F1,1
DB08818,Q96S86,1
DB04573,P04278,1
DB03796,P62166,0
DB03262,P00918,1
DB13055,P08913,0
DB02309,P00492,1
DB06600,P00509,0
DB03191,Q46702,0
DB03796,P10632,1
DB03909,P00558,1
DB09068,P34969,1
DB01327,P36544,0
DB03802,P03372,1
DB04024,P12235,0
DB00786,P51511,1
DB06868,Q04206,0
DB00543,P35367,1
DB06555,Q16775,0
DB04040,P08588,0
DB12884,P25021,1
DB07918,P0AAJ3,1
DB00382,P06276,1
DB04799,Q9UDW1,1
DB01382,P48048,1
DB00801,P30536,1
DB00953,P28566,1
DB09555,P41145,0
DB01918,Q9Y2T6,0
DB04824,P0AAI5,0
DB04147,P0C0X8,1
DB03212,P0AES2,1
DB06663,P30872,1
DB15334,Q9Y243,0
DB02643,P03276,1
DB17097,P50213,1
