drug_id,uniprot_id,interaction
DB00321,P08909,1
DB04176,P17174,0
DB00909,P07477,0
DB07428,P43405,0
DB11967,Q15125,0
DB03642,P43235,1
DB08839,P34969,1
DB07715,P08908,0
DB07755,P24941,1
DB08342,Q8IUR0,1
DB15219,Q9HBH9,1
DB00565,P38606,0
DB12843,P54709,1
DB02144,P61024,0
DB01295,Q99720,0
DB07841,P14324,1
DB00786,P18505,0
DB03756,P07477,0
DB06587,O43193,1
DB11977,P15382,0
DB00553,P14416,0
DB02596,P08164,1
DB02386,Q01693,1
DB08613,Q9H4B7,0
DB00788,P35354,1
DB01072,P11229,0
DB04537,P00953,1
DB05428,Q16881,1
DB01711,P48169,0
DB01577,P54219,1
DB16968,P37288,1
DB01598,Q08210,0
DB03147,P07339,0
DB00143,P0C0Y8,0
DB00904,P35372,1
DB07278,P17612,0
DB02163,P34969,0
DB11650,Q8YSC4,0
DB00777,P07203,0
DB14068,P00734,0
DB04770,O00764,1
DB00399,O95749,1
DB02067,P34896,1
DB00171,P07478,0
DB02363,P07998,1
DB08168,P20309,0
DB07794,P28482,1
DB00353,P21728,1
DB12850,P09391,0
DB11638,P20035,1
DB12899,P46881,0
DB00184,P00374,0
DB08069,P52700,1
DB06016,P28223,1
DB00774,P00918,1
DB04855,Q02641,1
DB02527,O00519,0
DB01175,P14416,1
DB07865,Q9L5C8,1
DB04522,P00742,0
DB04034,P39304,1
DB15822,P51681,0
DB00631,Q99418,0
DB04066,Q9ULX7,1
DB15444,P23469,0
DB06701,Q01959,1
DB12319,P11712,1
DB16407,P00734,0
DB03811,P60906,1
DB11807,P17787,1
DB01594,P14867,1
DB04696,P12461,1
DB12783,P20711,1
DB17097,O43837,1
DB13931,P14756,0
DB01200,P14416,1
DB01388,P54284,1
DB11986,P16455,0
DB14086,P00915,1
DB09213,P25553,0
DB00334,P50406,1
DB00875,P39900,0
DB02546,O15379,1
DB15266,P10398,1
DB13873,Q9NPA2,1
DB02316,P0A6R0,1
DB07862,Q86XF0,1
DB00420,P28223,1
DB01866,P12931,1
DB05650,Q16236,1
DB04348,P51161,1
DB07918,P0AAJ3,1
DB06297,Q6P093,0
DB02709,P35354,1
DB12010,P07498,1
DB07195,P71447,0
DB00598,P26393,0
DB16145,P03372,0
DB00247,P28566,1
DB16891,P36544,0
DB00246,P08912,1
DB12010,Q02761,0
DB03801,Q9C098,0
DB07821,P23141,1
DB02266,P42330,1
DB04223,P0AD65,0
DB00395,P47870,1
DB08846,P23975,0
DB00539,P40429,0
DB01177,Q701N4,0
DB04658,Q9ZIV5,0
DB12345,Q8TDV5,1
DB11638,Q8I431,1
DB01043,Q16678,0
DB18752,Q92769,0
DB02401,Q27743,1
DB00321,P07477,0
DB16700,P62750,0
DB07130,P35372,0
DB01632,P35348,0
DB08560,P04278,0
DB07447,P51857,1
DB01953,P0ABA0,0
DB08617,P54577,1
DB00154,P35354,1
DB04122,O13332,0
DB00934,O95954,0
DB01064,P15538,0
DB08912,Q8NG66,1
DB01711,P00326,1
DB03127,P68400,1
DB04555,Q72874,0
DB16032,Q02153,0
DB06702,P35348,0
DB02031,P07477,0
DB06021,P04040,0
DB09167,Q5SHF5,0
DB02697,P45452,1
DB00862,P03372,0
DB05905,Q9BVJ7,0
DB11970,P61073,1
DB03033,P23219,0
DB09371,P03372,1
DB01159,P48051,1
DB08231,P17900,1
DB03687,P62619,1
DB02794,P08179,1
DB13793,P20309,1
DB01407,P01375,1
DB08420,P07477,1
DB02010,Q08881,1
DB01639,P43681,0
DB04033,P43115,0
DB03590,P04964,1
DB01403,P37231,0
DB07856,P17612,1
DB00711,P09917,1
DB00430,P56817,0
DB03412,P35348,0
DB07860,P61925,1
DB03060,Q51792,0
DB14846,P14416,0
DB00159,Q03181,1
DB04473,P08913,0
DB02059,P24941,0
DB00477,P35462,1
DB15534,Q71U36,1
DB13310,P00947,0
DB05964,P28221,0
DB06626,P00734,0
DB13495,P00915,1
DB12354,Q99519,0
DB12543,Q16836,0
DB00995,O95718,1
DB08690,P06010,1
DB15205,Q92847,1
DB06850,Q9NPC2,0
DB01238,Q9Y5N1,1
DB04530,P31639,0
DB00622,P25100,1
DB09061,P24752,1
DB16828,P9WHH7,0
DB00753,P14867,1
DB00412,P00918,0
DB03834,P0AD63,1
DB03757,Q9UNI1,1
DB11740,P08912,0
DB08310,P39900,0
DB00243,Q14500,1
DB03327,P10724,1
DB04462,P49841,1
DB01236,P14867,1
DB00157,P08559,1
DB04395,P13945,0
DB11638,O68601,0
DB04315,P08173,0
DB04241,P16932,1
