drugbank_id,uniprot_id,interaction
DB00321,P08909,1
DB00909,P07477,0
DB08839,P34969,1
DB07715,P08908,0
DB08342,Q8IUR0,1
DB15219,Q9HBH9,1
DB01295,Q99720,0
DB03756,P07477,0
DB00553,P14416,0
DB02386,Q01693,1
DB04537,P00953,1
DB01577,P54219,1
DB00143,P0C0Y8,0
DB00904,P35372,1
DB02163,P34969,0
DB00777,P07203,0
DB00399,O95749,1
DB07794,P28482,1
DB00184,P00374,0
DB08069,P52700,1
DB00774,P00918,1
DB01175,P14416,1
DB07865,Q9L5C8,1
DB04522,P00742,0
DB04034,P39304,1
DB04066,Q9ULX7,1
DB12319,P11712,1
DB03811,P60906,1
DB11807,P17787,1
DB01594,P14867,1
DB12783,P20711,1
DB14086,P00915,1
DB09213,P25553,0
DB00334,P50406,1
DB02546,O15379,1
DB07862,Q86XF0,1
DB00420,P28223,1
DB01866,P12931,1
DB07918,P0AAJ3,1
DB06297,Q6P093,0
DB00598,P26393,0
DB02266,P42330,1
DB00395,P47870,1
DB04658,Q9ZIV5,0
DB01043,Q16678,0
DB02401,Q27743,1
DB00321,P07477,0
DB07130,P35372,0
DB01953,P0ABA0,0
DB08617,P54577,1
DB00934,O95954,0
DB01064,P15538,0
DB01711,P00326,1
DB03127,P68400,1
DB09167,Q5SHF5,0
DB02697,P45452,1
DB01159,P48051,1
DB08231,P17900,1
DB01407,P01375,1
DB03590,P04964,1
DB01403,P37231,0
DB03412,P35348,0
DB07860,P61925,1
DB00159,Q03181,1
DB04473,P08913,0
DB00477,P35462,1
DB05964,P28221,0
DB13495,P00915,1
DB08690,P06010,1
DB00753,P14867,1
DB00412,P00918,0
DB03834,P0AD63,1
DB04462,P49841,1
DB01236,P14867,1
DB04241,P16932,1
DB00321,P28223,1
DB02138,P41143,0
DB01977,P00846,0
DB07084,P30518,0
DB12110,P41595,1
DB00514,P01556,0
DB03215,P48443,0
DB02151,P95780,0
DB00143,Q7RTV2,1
DB08839,Q8TDS4,0
DB00363,P28566,1
DB03360,P62330,0
DB02988,Q9U8D3,0
DB04066,P22748,1
DB12710,P14416,1
DB02763,P29460,1
DB08134,P24941,1
DB03381,P07108,1
DB04388,Q88K39,1
DB00750,P13000,0
DB03661,Q5MYR6,1
DB06538,P19793,0
DB00822,P05091,1
DB03897,P31012,1
DB08555,P30556,0
DB01930,P9WIL5,1
DB00925,P35348,1
DB09060,P62593,1
DB04924,P14416,1
DB07859,P31751,1
DB13665,P15085,0
DB08289,P01834,1
DB09343,O15144,0
DB00692,Q14654,1
DB00514,P15559,0
DB02105,P21964,1
DB02401,O33199,0
DB03297,P46098,0
DB00523,P10276,1
DB06235,Q46604,0
DB00166,P31013,0
DB04272,O75390,1
DB00514,P41145,1
DB00487,O00483,0
DB02381,Q84EX5,0
DB02797,P05230,0
DB00774,P43166,1
DB00190,P20711,1
DB08612,Q9UKY3,1
DB01202,P46098,1
DB08271,Q9Y2T6,0
DB00755,Q14081,1
DB07004,P61160,0
DB14010,P0AD63,0
DB00228,Q16739,0
DB03359,Q8NF37,0
DB01351,P17787,0
DB03693,P10145,0
DB02823,P21728,0
DB06914,Q00987,0
DB04716,P35367,0
DB00514,P0A953,0
DB03814,P0A8X2,0
DB00926,P21283,0
DB03026,P00374,0
DB02007,P26276,1
DB02027,P00811,0
DB04233,Q9K597,1
DB04425,P56740,1
DB04272,O14757,0
DB04522,Q03721,1
DB06216,Q12908,0
DB00154,Q9Y243,0
DB08222,P42330,0
DB00797,P35348,1
DB16943,P37288,0
DB02119,P26281,1
DB00205,P00374,1
DB15097,P04350,0
DB01195,Q16654,0
DB00193,P19711,0
DB00201,Q04760,0
DB00129,P11086,0
DB00408,Q9NXA8,0
DB04879,Q00987,0
DB11201,P62593,0
DB01189,O15379,0
DB04530,Q9Y2Q3,0
DB15334,P41143,0
DB03382,P16455,0
DB02996,Q96RJ0,0
DB07780,P60472,1
DB00363,P21917,1
DB03975,P06008,0
DB07098,P08912,0
DB08181,P22629,1
DB00721,P08192,0
DB01207,P24557,1
DB11455,P42574,0
DB07305,P0AE18,1
DB03624,Q07412,0
DB01577,P08913,1
DB01645,P03886,0
DB13495,P21554,1
DB06948,P20248,1
DB01365,P14416,1
DB00142,Q9I7A8,0
DB00897,P9WGR1,0
DB00142,Q13547,0
DB03814,P04424,1
DB00753,P30049,1
DB06738,P35372,1
DB00909,P01112,0
DB01236,P23415,1
DB02379,P0C0Y7,0
DB07524,P11309,1
DB08231,P09142,1
DB06641,P31749,1
DB00767,Q46079,0
DB04519,P0A953,1
DB00363,Q1LCS4,0
DB03389,P08909,0
DB02379,P26466,1
DB12478,P21917,1
DB04442,P07477,1
DB01019,P05981,0
DB02052,P0ABP8,0
DB08217,P06730,1
DB00855,P08254,0
DB03793,Q5PXQ6,1
DB00988,P21918,1
DB01221,P02144,0
DB02482,P35348,0
DB00268,P35462,1
DB02327,Q16836,0
DB01727,Q04771,0
DB00854,P41145,1
DB04636,Q16769,1
DB02839,P42685,0
DB09262,P11229,1
DB12853,O00204,0
DB00381,P00749,0
DB08249,P28790,1
DB11755,P07477,0
DB07803,P00807,1
DB07771,P49354,1
DB03305,P35462,0
DB04885,P46098,1
DB12695,P27348,1
DB01407,P01138,1
DB07149,P00918,0
DB03814,O14757,0
DB12681,P01111,1
DB11327,Q01581,0
DB04464,P07173,1
DB12695,Q9NR28,1
DB03814,Q84FH6,1
DB03544,P69795,1
DB00543,P35367,1
DB01614,P28223,1
DB06436,Q14376,0
DB04338,P49810,0
DB07636,P49189,0
DB02379,P04278,0
DB00942,P11229,1
DB00806,P29274,1
DB03570,Q5SHF5,1
DB05266,Q96CA5,0
DB06973,Q92731,1
DB06931,Q8TDS4,0
DB03389,Q15102,0
DB00277,P07919,0
DB01233,P11229,1
DB07859,P17612,1
DB00960,P17612,0
DB04101,P24941,1
DB04312,Q14457,0
DB08363,P04637,1
DB00148,P12532,1
DB00851,Q14376,0
DB00751,Q46705,0
DB01242,P28335,1
DB09085,P0A884,0
DB08839,P77173,0
DB07481,P28720,1
DB07553,P41143,0
DB06470,Q99928,1
DB00548,P14679,1
DB16447,Q07812,1
DB00151,P21728,0
DB00780,P21397,1
DB18773,Q9P0J0,1
DB03800,P14867,0
DB08231,P55055,0
DB12783,Q13639,0
DB05010,Q9UBX1,0
DB02425,P35348,0
DB04216,P48047,0
DB00463,P36544,1
DB04202,P05091,1
DB08249,P07097,0
DB01352,Q16445,1
DB03709,P41052,1
DB09212,P19622,0
DB01031,P00918,1
DB04400,P07101,1
DB00594,P00749,1
DB00909,Q15822,0
DB00142,P14061,0
DB00228,Q9HBL8,0
DB08234,Q81R22,1
DB03379,P60174,1
DB08324,P05231,0
DB00297,O68874,0
DB07950,P16113,0
DB08690,P0A6M2,1
DB02069,P00918,1
DB01580,P11474,0
DB08562,P50406,0
DB04400,P61457,1
DB02054,P35348,0
DB11684,P35372,0
DB06538,P08908,1
DB04447,P09382,1
DB01800,P15273,1
DB01614,P08908,1
DB02379,Q79G13,1
DB04646,P83797,1
DB12686,P11802,1
DB03309,Q08209,0
DB03164,P07617,1
DB00363,P08172,1
DB04761,P45452,1
DB13174,Q16445,0
DB06153,P08908,1
DB07037,O14757,1
DB04147,P06010,1
DB02726,Q07412,1
DB00321,P15531,0
DB02377,P0DMS8,0
DB00311,P07451,1
DB11186,P08172,0
DB13025,P08908,1
DB12819,Q9NZ42,1
DB06965,P08908,0
DB13665,P35348,1
DB00167,P54687,1
DB07428,P9WGR1,0
DB00909,P35348,0
DB02709,P09769,0
DB08215,P08729,0
DB03091,O77323,0
DB04147,P03956,0
DB00142,P48048,0
DB09223,P14416,1
DB09327,P04818,1
DB07167,P07477,0
DB02125,P00183,1
DB09389,P21728,0
DB00726,P04818,0
DB00241,Q16445,1
DB02625,Q8I372,1
DB09167,P27695,0
DB08461,Q8WX39,0
DB00837,P11229,0
DB07927,P00811,1
DB00986,P08588,0
DB01985,Q05581,1
DB03162,P12931,0
DB04216,Q820T1,0
DB03369,Q00441,1
DB07776,P37231,0
DB04169,P28720,1
DB09290,P46098,1
DB12714,Q92731,0
DB04335,P08172,0
DB00155,P28221,0
DB04799,P15538,0
DB01239,Q9UEE5,0
DB06950,Q5G940,1
DB04272,P21964,0
DB08453,P36544,0
DB00132,P12931,0
DB04448,P00326,1
DB00720,P9WIQ1,0
DB00184,P30926,1
DB00489,P08588,1
DB00521,P16083,0
DB04085,P04054,0
DB00376,P08912,1
DB02379,Q07982,1
DB00166,Q9Y234,1
DB04216,P60709,1
DB00517,O75469,0
DB08837,P0A884,0
DB07776,P14867,1
DB04058,P60327,1
DB19094,P17538,0
DB03128,P55055,0
DB06625,Q53IN1,0
DB01151,P08913,1
DB00408,P09488,0
DB04821,Q8II73,0
DB02379,P0AEE5,1
DB04237,P0ABQ4,0
DB00725,Q9L5C8,0
DB00143,P10620,1
DB01221,P41145,1
DB13720,P04278,0
DB03705,P0AC13,1
DB04272,P30556,0
DB16927,P21728,1
DB06706,P35348,1
DB04905,Q6PKH6,0
DB12686,P24941,1
DB07559,Q02127,1
DB00408,P34969,1
DB00937,P14416,0
DB02263,P21728,0
DB09244,P08913,1
DB00208,Q9H244,1
DB08471,P9WMC1,1
DB01614,P21728,1
DB00195,P07550,1
DB04152,P07550,0
DB08837,Q86W47,1
DB08231,Q9Y5N1,0
DB00458,P08908,1
DB00543,P35030,0
DB00837,O14957,0
DB06732,P10589,1
DB08371,P18031,1
DB09151,Q12908,0
DB07704,P28720,1
DB02482,P08100,1
DB02613,P54317,1
DB07808,Q9L5C8,1
DB03855,Q03181,0
DB02746,P37231,1
DB02883,P0A6I0,1
DB12348,Q16790,1
DB02114,Q9UNI1,1
DB12072,P07947,0
DB01124,P14416,0
DB00195,P08588,1
DB03654,P22262,1
DB19094,Q14573,0
DB03553,Q83QN9,0
DB08605,P58558,0
DB08550,P18089,1
DB00368,Q00534,0
DB00363,Q9NYX4,1
DB04095,P30988,0
DB00669,P28221,1
DB11644,P02766,1
DB11186,P13716,0
DB00543,Q9H3N8,1
DB02515,P05062,1
DB04464,P00749,0
DB16754,A8MPY1,1
DB03740,P00390,0
DB06153,P28335,1
DB13994,P47869,1
DB11148,Q99720,0
DB08768,Q05603,0
DB02035,P50897,1
DB09213,P06493,0
DB07681,Q07869,0
DB00692,P08913,1
DB04519,P25025,0
DB01062,P71278,0
DB08364,P30542,0
DB04813,O85465,0
DB16893,Q9Y5N1,1
DB00308,Q06432,1
DB03039,P00918,1
DB12946,P29275,1
DB09118,P05177,0
DB00531,P41143,0
DB08235,P15121,0
DB11428,P68871,0
DB00983,P07550,1
DB01077,P05141,1
DB01620,Q9H3N8,1
DB02038,P28305,1
DB08329,P00918,1
DB04216,Q9Y230,1
DB14033,P0AC13,1
DB04256,P07477,0
DB08144,P24182,1
DB07303,O67854,0
DB06358,P0ABQ4,1
DB00852,P60568,1
DB01915,Q08257,0
DB00537,P06746,0
DB12527,P01834,0
DB00523,Q6V0L0,1
DB01750,P15559,0
DB09194,P28335,1
DB07050,Q59560,0
DB00953,P08172,0
DB13869,Q16539,0
DB00363,P09211,1
DB08777,P10599,0
DB08653,P21397,1
DB04464,P50406,0
DB01709,P13929,1
DB03793,Q01234,1
DB00244,P37231,1
DB04720,P68400,1
DB07763,P50406,0
DB00608,P01375,1
DB03796,Q9RC92,0
DB04447,P00352,1
DB03738,Q93RD8,0
DB11254,P35367,0
DB07738,P56817,1
DB06678,P00797,0
DB00726,P28221,1
DB07524,P35348,0
DB09225,P31677,0
DB00537,P36544,0
DB00142,O15382,1
DB07955,P04547,0
DB00755,P28221,0
DB00128,P48048,0
DB07721,P11229,0
DB01165,P04746,0
DB07939,P52700,1
DB01819,O66496,1
DB02602,Q99720,0
DB00441,Q8ZKR2,0
DB14010,P24941,0
DB00916,Q14500,0
DB02383,Q99720,1
DB02647,Q13126,0
DB01483,P36544,1
DB00420,Q07869,0
DB06153,Q9I7A8,0
DB01365,P35348,1
DB03017,Q9UNK4,1
DB04214,P00915,1
DB03467,Q9AIU0,1
DB12838,P18825,1
DB04511,Q44244,1
DB02379,P24347,0
DB07918,P0A017,0
DB07776,Q99584,0
DB12831,P01857,0
DB13550,P21397,1
DB07684,P22695,0
DB07767,P22748,1
DB00945,Q99519,1
DB07496,P01556,0
DB07698,P05181,0
DB02036,Q9I7A8,1
DB00280,P11797,0
DB02094,P00811,1
DB08666,P0AE18,1
DB15971,P35367,1
DB00282,P14324,1
DB07028,P15121,1
DB07849,P61925,0
DB00989,P03886,0
DB15932,P05042,0
DB17837,P05186,1
DB08026,P53779,1
DB12695,Q9Y266,1
DB12695,O43399,1
DB09167,P00915,0
DB01880,P28223,0
DB04619,Q84EX5,1
DB01366,P07550,1
DB00392,P35367,1
DB05492,P28720,0
DB00420,P10176,0
DB04473,P26281,0
DB09000,P34969,1
DB07979,P22695,0
DB02824,Q9X266,1
DB01354,P35372,0
DB03452,P05042,1
DB01159,Q9NPC2,1
DB00458,P14416,1
DB00321,P36544,0
DB08231,P60568,0
DB00521,P08588,1
DB00193,P30542,1
DB00373,P00813,0
DB13983,P48637,0
DB02438,P15587,1
DB02407,P12724,0
DB00767,P11229,1
DB08342,P0DMS8,0
DB07364,Q00535,1
DB01881,O43193,0
DB01484,P28221,1
DB03035,P68400,1
DB03818,P30043,0
DB11259,Q9AIU0,0
DB12074,P11797,0
DB00514,P30711,0
DB03297,P35414,0
DB00849,P22894,0
DB06548,P14324,1
DB08525,P28482,0
DB01567,P28476,1
DB08133,P55210,0
DB04272,P30926,0
DB06766,P35367,1
DB12714,P0A988,0
DB00170,P36544,0
DB13873,P37231,1
DB03796,O43617,1
DB07634,P14900,0
DB06218,Q16445,0
DB07149,Q9NXA8,0
DB00714,P18548,0
DB01097,Q04416,0
DB03787,P16932,1
DB04464,Q16740,1
DB00819,P43166,1
DB16704,P07477,0
DB07428,P47229,0
DB15097,Q9NZ42,0
DB08877,P07477,0
DB07459,Q16539,1
DB07384,P06576,1
DB02604,Q16637,0
